yi,vi,ID,Paper.Number,Experiment.Number,Effect.Size.Number,Paper.and.Exp,Paper,Publication.Year,DOI,Article.Title,Journal,Design,N_Total,N_Intervention,N_Control,Begin.Selection.Factors,Meta-analysis.Source,sample,Measure,task,sound,End.Selection.Factors,Begin.Selection.Numerics,IF,db,End.Selection.Numerics,sound_type,mean_C,var_C,mean_E,var_E,var_type,d,d_var,g,g_var,CI95_L,CI95_R,reference
-0.00575766531158586,0.005550128126225526,38,38,1,1,Mitchell (1949),Mitchell (1949),1949,not recorded,not recorded,The Journal of Educational Research,within,91,91,91,,"Vasilev, et al. (2018)",children,reading_score,reading test (composite),music,,,1.218,NA,,radio/ generic,147.31,NA,147.2,NA,NA,-0.008101796715283098,0.005644063746970648,-0.00575766531158586,0.005550128126225526,-0.1517760621309866,0.14026073150781487,NA
-0.5566288987941348,0.0635562820535566,39,39,1,1,Armstrong et al. (1991),Armstrong et al. (1991),1991,not recorded,not recorded,Communications Monographs,between,95,62,33,,"Vasilev, et al. (2018)",adults,reading_score,reading comprehension,speech,,,2.029,NA,,TV ads+drama,9.23,NA,7.775,NA,NA,-0.563489398535337,0.06512985953282828,-0.5566288987941348,0.0635562820535566,-1.0507521760609957,-0.06250562152727401,NA
-0.29828886064100346,0.06574792742884505,40,40,1,1,"Pool et al. (2000), Exp.1",Pool et al. (2000),2000,not recorded,not recorded,Communication Research,between,90,60,30,,"Vasilev, et al. (2018)",children,prop_correct,reading comprehension,speech+music,,,1.976,60,,NA,0.755,0.095,0.7275,0.0875,SD,-0.3022137140704903,0.06748951899681827,-0.29828886064100346,0.06574792742884505,-0.8008594905137122,0.20428176923170527,NA
-0.33467408175922014,0.06232324755727222,41,40,2,1,"Pool et al. (2000), Exp.2",Pool et al. (2000),2000,not recorded,not recorded,Communication Research,between,96,48,48,,"Vasilev, et al. (2018)",children,prop_correct,reading comprehension,speech+music,,,1.976,60,,NA,0.76,0.10500000000000001,0.72,0.11750000000000001,SD,-0.3383118435174725,0.06368546409768991,-0.33467408175922014,0.06232324755727222,-0.8239807216242612,0.15463255810582083,NA
0.04475234141868972,0.03926886928917599,42,42,1,1,Dockrell & Shield (2006),Dockrell & Shield (2006),2006,not recorded,not recorded,British Educational Research Journal,between,156,104,52,,"Vasilev, et al. (2018)",children,reading_score,reading comprehension,noise,,,1.124,65,,NA,33.45,11.62,33.535,10.59,SD,0.045084660785660174,0.03985423566857853,0.04475234141868972,0.03926886928917599,-0.3436485960947237,0.43315327893210315,NA
-0.08644871409893835,0.011960358054078041,43,43,1,1,"Hyönä & Ekholm (2016), Exp.1",Hyönä & Ekholm (2016),2016,not recorded,not recorded,PloS One,within,42,42,42,,"Vasilev, et al. (2018)",adults,perc_correct,reading comprehension,speech,,,3.057,82.5,,native+foreign,78,15,76.25,13.75,SD,-0.12289002559115496,0.012413076294484354,-0.08644871409893835,0.011960358054078041,-0.3008010210623723,0.12790359286449554,NA
-0.09294786009639767,0.09859604057265545,47,47,1,1,Armstrong & Chung (2000),Armstrong & Chung (2000),2000,not recorded,not recorded,Communication Research,between,39,20,19,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,speech,,,1.976,NA,,native,7.84,1.46,7.7,1.49,SD,-0.09488427384840596,0.10274700235023687,-0.09294786009639767,0.09859604057265545,-0.7083879867244176,0.5224922665316223,NA
-0.09892744110201476,0.03943747722399331,48,48,1,1,"Madsen (1987), Exp.1",Madsen (1987),1987,not recorded,not recorded,NA,between,100,50,50,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,75,,various,31.74,6.87,31.04,7.17,SD,-0.09969234399713343,0.04004969281725822,-0.09892744110201476,0.03943747722399331,-0.4881613200279026,0.2903064378238731,NA
-0.1307956178039322,0.0211885731282041,49,49,1,1,"Sörqvist (2010b), Exp.1a",Sörqvist (2010b),2010,not recorded,not recorded,Journal of Environmental Psychology,within,23,23,23,,"Vasilev, et al. (2018)",children,prop_correct,reading comprehension,noise,,,2.647,57.5,,aircraft,0.28,0.22,0.24,0.2,SD,-0.18902691015571263,0.022729068878596485,-0.1307956178039322,0.0211885731282041,-0.4160990046210341,0.15450776901316968,NA
-0.5077889469982517,0.02642209749900586,50,49,2,1,"Sörqvist (2010b), Exp.1b",Sörqvist (2010b),2010,not recorded,not recorded,Journal of Environmental Psychology,within,23,23,23,,"Vasilev, et al. (2018)",children,prop_correct,reading comprehension,speech,,,2.647,57.5,,native,0.28,0.16,0.17,0.11,SD,-0.7338607919279753,0.028343091832479496,-0.5077889469982517,0.02642209749900586,-0.8263845052726584,-0.189193388723845,NA
